artist, album, track, timestamp
Post Malone,Sunflower (Spider-Man: Into the Spider-Verse),Sunflower - Spider-Man: Into the Spider-Verse,15 Dec 2018 23:49
Meek Mill,Championships,24/7 (feat. Ella Mai),15 Dec 2018 23:46
Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) [Remix],TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,15 Dec 2018 23:42
A Boogie Wit da Hoodie,Look Back At It,Look Back At It,15 Dec 2018 23:39
xxxtentacion,Skins,whoa (mind in awe),15 Dec 2018 23:37
The Chainsmokers,Sick Boy,Beach House,15 Dec 2018 23:31
The Chainsmokers,Sick Boy,This Feeling,15 Dec 2018 23:27
Jaden Smith,SYRE: The Electric Album,B - Electric,15 Dec 2018 23:21
Muse,Simulation Theory (Super Deluxe),Pressure,15 Dec 2018 23:17
MANWOLVES,You,You,15 Dec 2018 23:12
Jakob Ogawa,All Your Love,All Your Love,15 Dec 2018 23:09
Snoh Aalegra,Feels,Fool For You,15 Dec 2018 23:06
Lewis Del Mar,Lewis Del Mar,Puerto Cabezas NI,15 Dec 2018 23:02
Yoke Lore,Goodpain,Beige,15 Dec 2018 22:58
RKCB,Enough,Enough,15 Dec 2018 22:55
Ravyn Lenae,Crush EP,The Night Song,15 Dec 2018 22:51
Prismo,Pretty Stranger,Pretty Stranger,15 Dec 2018 22:48
Jeremy Zucker,comethru,comethru,15 Dec 2018 21:19
Aaron Taylor,The Long Way Home,I Think I Love You Again,15 Dec 2018 21:14
Jesse,&,Bloom Later,15 Dec 2018 21:11
Adhoc,China White,China White,15 Dec 2018 21:08
Millencolin,True Brew,Sense & Sensibility,15 Dec 2018 19:41
Barely Civil,Barely Civil / Barely March,Year of the Dog,15 Dec 2018 19:37
Trash Boat,Shade,Shade,15 Dec 2018 19:33
Bad Religion,Stranger Than Fiction (Deluxe Edition Remastered),Stranger Than Fiction,15 Dec 2018 19:31
Trophy Eyes,You Can Count On Me,You Can Count On Me,15 Dec 2018 19:28
Trash Boat,Nothing I Write You Can Change What You've Been Through,Eleven,15 Dec 2018 19:25
Cold War Kids,La Divine,Love Is Mystical,15 Dec 2018 19:18
Deaf Havana,RITUALS,Saint,15 Dec 2018 19:18
Sure Sure,Sure Sure,Giants,15 Dec 2018 19:13
The Undercover Dream Lovers,Come Home,Come Home,15 Dec 2018 19:09
BROCKHAMPTON,Saturation II,SUMMER,15 Dec 2018 19:04
Ludwig van Beethoven,Pollini plays Beethoven,Piano Sonata No.21 In C Op.53 -Waldstein: 1. Allegro con brio - Live,15 Dec 2018 19:01
Frédéric Chopin,Moonlight Sonata - Best Piano Hits,Preludes Op. 28: No. 15 in D-Flat Major 'Raindrop' (Sostenuto),15 Dec 2018 18:52
Dmitri Shostakovich,Shostakovich: 24 Preludes & Fugues,24 Preludes & Fugues Op. 87: Prelude no.21 in B flat major. Allegro,15 Dec 2018 18:46
Franz Schubert,Schubert: Trio in Es-Dur Notturno,2. Andante Con Moto,15 Dec 2018 18:44
Peach Pit,Being so Normal,Tommy's Party,15 Dec 2018 18:35
Zanski,Fool,Fool,15 Dec 2018 18:31
potsu,just friends,lean back,15 Dec 2018 18:28
Two Feet,A 20 Something Fuck,I Feel Like I'm Drowning,15 Dec 2018 18:26
Tyler the Creator,Potato Salad,POTATO SALAD,15 Dec 2018 18:23
A$AP Rocky,Sundress,Sundress,15 Dec 2018 18:20
Kamasi Washington,Heaven and Earth,Street Fighter Mas,15 Dec 2018 18:17
ZHU,RINGOS DESERT,Coming Home,15 Dec 2018 18:11
Jake Mirador,Saint Laurent,Saint Laurent,15 Dec 2018 18:08
Odesza,Loyal,Loyal,15 Dec 2018 18:04
Bay Faction,Are You In The Mood?,Are You In The Mood?,15 Dec 2018 18:01
Slow Hours,Endless,Endless,15 Dec 2018 17:54
Unknown Mortal Orchestra,Multi-Love,Stage or Screen,15 Dec 2018 06:45
Unknown Mortal Orchestra,Multi-Love,The World Is Crowded,15 Dec 2018 06:41
Unknown Mortal Orchestra,II (Deluxe Edition),Faded in the Morning,15 Dec 2018 06:36
Unknown Mortal Orchestra,Multi-Love,Extreme Wealth and Casual Cruelty,15 Dec 2018 06:30
Unknown Mortal Orchestra,Unknown Mortal Orchestra,Jello and Juggernauts,15 Dec 2018 06:27
Unknown Mortal Orchestra,Unknown Mortal Orchestra,Thought Ballune,15 Dec 2018 06:22
Unknown Mortal Orchestra,Unknown Mortal Orchestra,Bicycle,15 Dec 2018 06:18
Unknown Mortal Orchestra,Unknown Mortal Orchestra,FFunny FFriends,15 Dec 2018 06:13
slenderbodies,Take You Home,take you home,15 Dec 2018 06:10
Dr. Dog,Shame Shame (Deluxe Edition),Where'd All The Time Go?,15 Dec 2018 06:06
The Arcs,Yours Dreamily,Chains Of Love,15 Dec 2018 06:03
Steve Lacy,C U Girl,C U Girl,15 Dec 2018 06:01
Drama,Gallows,Forever's Gone,15 Dec 2018 05:58
Yoke Lore,Fake You,Fake You,15 Dec 2018 05:54
Generationals,Polyvinyl Plays Polyvinyl,In Green (feat. Sarah Quintana),15 Dec 2018 05:51
Jakob Ogawa,Sunshine Girl,Sunshine Girl - Demo,15 Dec 2018 05:49
Allah-Las,Fish On The Sand,Fish On The Sand,15 Dec 2018 05:46
Langhorne Slim,Life Is Confusing EP,House Of My Soul (You Light The Rooms),15 Dec 2018 05:43
Dr. Dog,Heart It Races,Heart It Races - Dr Dog Version,15 Dec 2018 05:38
Peach Pit,Sweet FA,Peach Pit,15 Dec 2018 05:33
islandis,Home,Home,15 Dec 2018 05:30
Magic City Hippies,Hippie Castle EP,Limestone,15 Dec 2018 05:26
Freedom Fry,Yeah You,Zombie Love,15 Dec 2018 05:22
courtship.,Denial in Paradise,Nice Guy,15 Dec 2018 05:20
mxmtoon,plum blossom,i miss you,15 Dec 2018 05:17
mxmtoon,plum blossom,feelings are fatal,15 Dec 2018 05:15
My Chemical Romance,Three Cheers for Sweet Revenge,The Jetset Life Is Gonna Kill You,15 Dec 2018 02:23
Swmrs,Drive North,Figuring It Out,15 Dec 2018 02:19
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,When the Sun Goes Down,15 Dec 2018 02:16
The Rubens,Hoops,Hoops,15 Dec 2018 02:14
The Pigeon Detectives,Wait For Me,I Found Out,15 Dec 2018 02:11
The Hives,Hate to Say I Told You So,Hate To Say I Told You So,15 Dec 2018 02:08
ROAM,Great Heights & Nosedives,Playing Fiction,15 Dec 2018 02:06
Twenty One Pilots,Blurryface,Polarize,15 Dec 2018 02:03
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,I Bet You Look Good on the Dancefloor,15 Dec 2018 02:01
My Chemical Romance,The Black Parade,Welcome to the Black Parade,15 Dec 2018 01:55
I DONT KNOW HOW BUT THEY FOUND ME,1981 Extended Play,Social Climb,15 Dec 2018 01:53
The Fratellis,Chelsea Dagger (Radio Edit),Chelsea Dagger,15 Dec 2018 01:48
Run River North,Drinking from a Salt Pond,Run or Hide,15 Dec 2018 01:44
Imagine Dragons,Smoke + Mirrors,I’m So Sorry,15 Dec 2018 01:40
Jet,Get Born,Are You Gonna Be My Girl,15 Dec 2018 01:36
Supergrass,I Should Coco,Alright,15 Dec 2018 01:33
Franz Ferdinand,Franz Ferdinand,Take Me Out,15 Dec 2018 01:30
Spraynard,Funtitled,We're Pretty Nice Guys,15 Dec 2018 01:26
Frank Turner,Be More Kind,Brave Face,15 Dec 2018 01:23
Brian Fallon,Painkillers,Red Lights,15 Dec 2018 01:19
Alkaline Trio,Remains,Metro,15 Dec 2018 01:16
The Lillingtons,Stella Sapiente,London Fog,15 Dec 2018 01:13
Cobra Skulls,Sitting Army,Cobra Skullifornia,15 Dec 2018 01:10
The Menzingers,After the Party,Lookers,15 Dec 2018 01:07
Alkaline Trio,Is This Thing Cursed?,Heart Attacks,15 Dec 2018 01:04
Lemuria,Recreational Hate,Christine Perfect,15 Dec 2018 01:02
The Menzingers,Rented World,My Friend Kyle,15 Dec 2018 00:59
Smoking Popes,Destination Failure,Megan,15 Dec 2018 00:56
Against Me!,Shape Shift with Me,Norse Truth,15 Dec 2018 00:53
Elway,For the Sake of the Bit,Hold On,15 Dec 2018 00:50
Captain We're Sinking,The King of No Man,Trying Year,15 Dec 2018 00:50
Elway,For the Sake of the Bit,Hold On,15 Dec 2018 00:48
Lemuria,Get Better,Dog,15 Dec 2018 00:46
The Menzingers,Rented World,I Don't Wanna Be An Asshole Anymore,15 Dec 2018 00:43
Something Corporate,Leaving Through the Window,I Woke Up In A Car,15 Dec 2018 00:38
Mobb Deep,The Infamous,Survival of the Fittest,15 Dec 2018 00:32
Jay Rock,Redemption,Wow Freestyle (feat. Kendrick Lamar),15 Dec 2018 00:30
A Tribe Called Quest,We got it from Here... Thank You 4 Your service,Dis Generation,15 Dec 2018 00:26
The Internet,Hive Mind,Roll (Burbank Funk),15 Dec 2018 00:23
Kanye West,Ye,All Mine,15 Dec 2018 00:21
Earl Sweatshirt,I Don't Like Shit I Don't Go Outside: An Album by Earl Sweatshirt,Grief,15 Dec 2018 00:16
Fugees,The Score,Ready or Not,15 Dec 2018 00:12
88Rising,Head In The Clouds,La Cienega,15 Dec 2018 00:08
A Tribe Called Quest,The Low End Theory,Butter,15 Dec 2018 00:08
Earl Sweatshirt,Doris,Whoa,15 Dec 2018 00:05
dead prez,Let's Get Free,Hip-Hop,15 Dec 2018 00:02
Goodie Mob,Dirty South Classics,Cell Therapy,14 Dec 2018 23:57
Russ,ZOO,Kill Them All,14 Dec 2018 23:47
Joey Bada$$,1999,Survival Tactics (feat. Capital Steez),14 Dec 2018 23:45
Marc E. Bassy,East Hollywood,4am,14 Dec 2018 23:43
The Neighbourhood,Hard to imagine the neighbourhood ever changing,Blue,14 Dec 2018 23:39
Whethan,Life of a Wallflower Vol. 1,Be Like You (feat. Broods),14 Dec 2018 23:37
Substantial,Substantial Evidence (1999-2003),Blessing It,14 Dec 2018 22:34
Bobby Raps,Wicked City,Wicked City,14 Dec 2018 22:30
Joji,In Tongues (Deluxe),Will He (Medasin Remix),14 Dec 2018 22:27
Busdriver,Thumbs,Worlds To Run,14 Dec 2018 22:21
Kevin George,LOVELAND,High Like This,14 Dec 2018 22:18
Ivan Ave,Mutual Intentions 2,Machines,14 Dec 2018 22:15
Banes World,Drowsy,Dream Boat,14 Dec 2018 22:13
Freddie Dredd,Evil Fantasy,Evil Fantasy,14 Dec 2018 22:11
Vansire,Angel Youth,Star Catcher,14 Dec 2018 22:08
Bahamas,Barchords,Your Sweet Touch,14 Dec 2018 22:04
Easy Socks,I Know What Your Mama Thinks of Me,I Know What Your Mama Thinks of Me,14 Dec 2018 22:03
Takeoff,The Last Rocket,Infatuation,14 Dec 2018 21:59
Winston Surfshirt,Sponge Cake,For Real,14 Dec 2018 21:56
datfootdive,Mother,stay,14 Dec 2018 21:55
Coast Modern,Coast Modern,Tiny Umbrella,14 Dec 2018 21:51
Hasani,Navy Blue,Navy Blue,14 Dec 2018 21:49
BØRNS,Tension (Noah Breakfast Remix),Tension - Noah Breakfast Remix,14 Dec 2018 21:46
Moise,Wildflower,Wildflower,14 Dec 2018 21:43
Dreamgirl,Illuminaughty - EP,Pretty Sexual,14 Dec 2018 21:40
Mosie,Oh! Frenchy,Oh! Frenchy,14 Dec 2018 21:36
Cuco,Chiquito,Summer Time High Time,14 Dec 2018 21:33
Brennan Henderson,Never Been Cool,Girl (feat. Clairo),14 Dec 2018 21:30
JPEGMAFIA,VETERAN,1539 N. Calvert,14 Dec 2018 21:27
TomppaBeats,Harbor,Monday Loop,14 Dec 2018 21:26
Matt Martians,The Drum Chord Theory,Baby Girl,14 Dec 2018 21:23
Concept Collective,Concept Collective Vol. 2,Tired Boy,14 Dec 2018 21:18
Swum,Swum,Rick N Morty,14 Dec 2018 21:16
